speaker,text
01_LYNN,"Cause that one uh whole day, you couldn't even see or anything, from, but look at your cigarettes. Just sitting there."
01_LENO,"Oh yeah. On the way into r-... from Roundup, yesterday morning, the radio was on. And they were, talking about the weather and they said, how we-, everybody woke up with ash all over their car today, and."
01_LYNN,In Roundup.
01_LENO,On the way from Roundup. I was listening to the radio. Yesterday morning. And they were talking.
01_LYNN,"And so this was probably like a Billings radio station, or something like that."
01_LENO,"Yeah, Unhunh."
01_LYNN,Is that right.
01_LENO,And they said well everybody woke up with ashes on their car today. And I guess just from the fires.
01_DORI,"Yeah, it is..."
01_LYNN,<NONVERBAL>
01_DORI,I was telling Mae Lynne.
01_LYNN,Hunh.
01_DORI,"Uh, day before yesterday, it was the most weird day I've ever seen in my entire adult life. It was um, the wind was blowing real hot when I first got up. And it was early. Real early, like seven o'clock in the morning, that... that wind was just hot. And, next thing you knew, it was just overcast, well the smoke all blew in. Just like there was a fire... right around close. And it was just dense. You couldn't even hardly see, very far away. Okay then, it... that... s-... it just kinda blew the smoke in, and then blew it out, but, then it was real hazy, and there was just dust particles, all over... and it was, you'd look at the sun, and it would just look red. I mean you couldn't see the sun. It was just."
01_LYNN,She said people were driving around with their lights on.
01_DORI,"Yeah. And the lights were... they didn't look like they were... it's just from the drought and the dust, you know, and the smoke in the air. I've never seen anything like it."
01_LYNN,"And she said like, the lights looked a greenish color."
01_DORI,Yeah. They look a green <XX>.
01_LYNN,"You know how they look yellow at night, you know."
01_DORI,Yeah... they just looked green. It was a weird... ugly... ugly day. Rana Lee's gonna have a baby by the way.
01_LYNN,Who is.
01_DORI,Rana Lee.
01_LYNN,Brian's wife.
01_DORI,Brian's wife.
01_LYNN,"I didn't even know she was pregnant, three months ago. Of course I guess they can get big in three months."
01_DORI,"Well, I I told you."
01_LYNN,Too.
01_LENO,What's her name.
01_LYNN,Bran-... what's her name.
01_DORI,Rana Lee.
01_LYNN,Rana Lee.
01_DORI,Unhunh.
01_LYNN,Rana Lee.
01_LENO,Hm...
01_LYNN,"I don't know why I told you that. Rana Lee. She had a brother that died from asthma too. Seem like a lot of people. I mean that's weird, that I would know two people that died from asthma. You know."
01_DORI,Why don't we go.
01_LENO,Just in.
01_DORI,Except.
01_LYNN,Just in a matter of a year's time.
01_DORI,This washing is <XX>.
01_LENO,Really.
01_LYNN,"Yeah. Her brother was like, just right out of high school. I mean, you know, did mom tell you, about Deb at all. She probably really couldn't, since Genetta was there. You know, she was-... like she was in the hospital, in and out of the hospital all the time and stuff, ever since she was little, she was in and out of the hospital."
01_DORI,Who was that. Debby.
01_LYNN,Debby. I mean she was in-...
01_DORI,<XX>.
01_LYNN,She loved horses so much...
01_DORI,<XX> stuff on it.
01_LYNN,"And she was always, like, she's allergic to horsehair, horse sweat."
01_LENO,Oh... <XX>.
01_LYNN,"You know, stuff like that, but she wouldn't quit riding em... so."
01_DORI,Well <XX>.
01_LYNN,"She's allergic to everything, it doesn't matter..."
01_DORI,"<XX> was saying, it didn't matter what she did."
01_LENO,Did she ever go to a allergy doctor...
01_LYNN,<XX>.
01_LENO,Or anybody like that.
01_LYNN,Oh yeah. She t-... well they... she never did take shots. Did she.
01_DORI,"No, I don't know why. They should've, they should have gotten her."
01_LYNN,I don't know why they didn't either.
01_DORI,"I... uh I w- always wondered about that, and she was s-... she had such severe asthma, that, I would have done a little bit more for her I think."
01_LYNN,"If you wanna talk about somebody tired, that girl, that girl couldn't walk down to the street and back, without taking a nap. And me and mom always accused her of being lazy. You know, because she was just, all she did was sleep."
01_LENO,She sounded like she had more problems than.
01_LYNN,"And now that when we think about it, she probably wasn't really lazy, she's probably just exhausted, I mean, you know, if you think about it, we like take everything for granted. We take our air for granted. You know. Then somebody like that, every little breath is like and effort to em, d-... and you know, and if I had to go through an effort, just in breathing, all the time."
01_DORI,Well Debby got-.
01_LYNN,I would be tired too.
01_DORI,"Debby got to the point, where all she would do is, when she did, you know every-... just, really often she would go, to try to get enough air in, and her, they had an autopsy done on her. And her heart, was just hard, on one side, from, labored breathing all of her life. It had just labored her heart so bad. She actually died of a heart attack."
01_LYNN,She did.
01_DORI,Yeah.
01_LYNN,They did have an autopsy done on her.
01_DORI,Yes. It surprised me. But they... they did. And it was actually a.
01_LYNN,And her heart was hard.
01_DORI,"Cardiac arrest. Mhm. One side of her heart was just hard... from, the muscle... the muscle was just hard, from just labored breathing."
01_LYNN,Geez.
01_DORI,Trying to breathe all the time.
01_LYNN,That's just sick.
01_DORI,"Yeah, we thought she was just lazy, and kind of worthless, but, we didn't realize what she was going through."
01_LYNN,"And you know, maybe that's another reason why she didn't really... maybe mom she kinda knew about all this stuff. And maybe that's why she didn't really, pay that much attention to Amanda. I mean not because, I mean it seems like she'd pay more attention to her, but maybe it's because she wanted to have a little fun in her life too, and knew it wasn't gonna, last forever for her. You know. I mean, I guess like right before she died and stuff, she's like telling her mom like, well if I go, I want this here, and I want that there, and, You know, just little things."
01_LENO,"Is Amanda her kid, or."
01_LYNN,Yeah.
01_LENO,Oh.
01_DORI,She had a little three-year-old daughter.
01_LYNN,It's just too bad. I just hope Orville and Genetta get that little girl.
01_DORI,Oh they won't... there's no.
01_LYNN,Are they even trying.
01_DORI,"They can't. They want her three months out of the year, but they have no legal grounds. I mean, You know, he is the legal father, and, there's not much they can do."
01_LENO,Oh she was divorced.
01_DORI,Mhm.
01_LYNN,"Yeah, and he is such a weirdo. This is the type of person, that is like a hermit. I don't know what you'd call him..."
01_DORI,Well they were rai- raised backward.
01_LYNN,He's like.
01_DORI,"Uh, back woods."
01_LYNN,Back woodsy.
01_DORI,Raised in the mountains... didn't d-.
01_LYNN,Never came down out of the mountains. He doesn't have any. He doesn't know what's going on in this world.
01_DORI,No he doesn't. He was just not properly brought up.
01_LYNN,He. I mean he wouldn't even have the slightest idea <XX>.
01_LENO,Where was he from.
01_DORI,"Um, I forget."
01_LYNN,Idaho.
01_DORI,"Idaho, and."
01_LYNN,"Up in the mountains, In Idaho..."
01_DORI,"<XX>, Um Macley, and."
01_LYNN,Arco. Isn't that where Deb kinda was. NA
